id,active_ingredient,brand,form,strength_mg_per_unit,concentration_mg_per_ml,units_per_pack,unit,volume_ml,presentation_text
38,loratadina,BioMed,tablet,10,,20,tableta,,Tabletas 10 mg (20u)
39,loratadina,Medica,tablet,10,,30,tableta,,Tabletas 10 mg (30u)
40,loratadina,NovaPharm,jarabe,,1,,ml,120,Jarabe 1 mg/ml (120 ml)
41,cetirizina,Generico,tablet,10,,10,tableta,,Tabletas 10 mg (10u)
42,cetirizina,FarmacoA,jarabe,,1,,ml,100,Jarabe 1 mg/ml (100 ml)
43,cetirizina,LabCare,tablet,10,,20,tableta,,Tabletas 10 mg (20u)
44,cetirizina,BioMed,tablet,10,,30,tableta,,Tabletas 10 mg (30u)
45,cetirizina,PharmaMax,jarabe,,1,,ml,120,Jarabe 1 mg/ml (120 ml)
46,omeprazol,Generico,capsula,20,,14,capsula,,Cápsulas 20 mg (14u)
47,omeprazol,FarmacoB,capsula,40,,28,capsula,,Cápsulas 40 mg (28u)
48,omeprazol,Medica,capsula,20,,30,capsula,,Cápsulas 20 mg (30u)
49,omeprazol,LabCare,capsula,40,,14,capsula,,Cápsulas 40 mg (14u)
50,omeprazol,PharmaMax,tablet,20,,7,tableta,,Tabletas 20 mg (7u)
51,pantoprazol,Generico,tablet,40,,14,tableta,,Tabletas 40 mg (14u)
52,pantoprazol,FarmacoA,tablet,20,,28,tableta,,Tabletas 20 mg (28u)
53,pantoprazol,Medica,tablet,40,,30,tableta,,Tabletas 40 mg (30u)
54,pantoprazol,BioMed,tablet,20,,7,tableta,,Tabletas 20 mg (7u)
55,pantoprazol,PharmaMax,tablet,40,,10,tableta,,Tabletas 40 mg (10u)
56,metformina,Generico,tablet,500,,30,tableta,,Tabletas 500 mg (30u)
57,metformina,FarmacoB,tablet,850,,60,tableta,,Tabletas 850 mg (60u)
58,metformina,LabCare,tablet,1000,,30,tableta,,Tabletas 1000 mg (30u)
59,metformina,Medica,tablet,500,,60,tableta,,Tabletas 500 mg (60u)
60,metformina,PharmaMax,tablet,500,,20,tableta,,Tabletas 500 mg (20u)
61,levotiroxina,Generico,tablet,25,,30,tableta,,Tabletas 25 mcg (30u)
62,levotiroxina,FarmacoA,tablet,50,,30,tableta,,Tabletas 50 mcg (30u)
63,levotiroxina,LabCare,tablet,75,,30,tableta,,Tabletas 75 mcg (30u)
64,levotiroxina,BioMed,tablet,100,,30,tableta,,Tabletas 100 mcg (30u)
65,levotiroxina,PharmaMax,tablet,50,,15,tableta,,Tabletas 50 mcg (15u)
66,sertralina,Generico,tablet,50,,28,tableta,,Tabletas 50 mg (28u)
67,sertralina,FarmacoB,tablet,100,,14,tableta,,Tabletas 100 mg (14u)
68,sertralina,LabCare,tablet,50,,14,tableta,,Tabletas 50 mg (14u)
69,sertralina,Medica,tablet,100,,7,tableta,,Tabletas 100 mg (7u)
70,sertralina,PharmaMax,tablet,50,,10,tableta,,Tabletas 50 mg (10u)
71,fluoxetina,Generico,capsula,20,,30,capsula,,Cápsulas 20 mg (30u)
72,fluoxetina,FarmacoA,capsula,20,,14,capsula,,Cápsulas 20 mg (14u)
73,fluoxetina,LabCare,capsula,20,,10,capsula,,Cápsulas 20 mg (10u)
74,fluoxetina,BioMed,capsula,20,,20,capsula,,Cápsulas 20 mg (20u)
75,fluoxetina,PharmaMax,capsula,20,,7,capsula,,Cápsulas 20 mg (7u)
76,diazepam,Generico,tablet,5,,20,tableta,,Tabletas 5 mg (20u)
77,diazepam,FarmacoB,tablet,10,,10,tableta,,Tabletas 10 mg (10u)
78,diazepam,LabCare,tablet,2,,30,tableta,,Tabletas 2 mg (30u)
79,diazepam,Medica,tablet,5,,10,tableta,,Tabletas 5 mg (10u)
80,diazepam,PharmaMax,tablet,5,,50,tableta,,Tabletas 5 mg (50u)
81,gabapentina,Generico,capsula,300,,30,capsula,,Cápsulas 300 mg (30u)
82,gabapentina,FarmacoA,capsula,100,,30,capsula,,Cápsulas 100 mg (30u)
83,gabapentina,LabCare,capsula,300,,60,capsula,,Cápsulas 300 mg (60u)
84,gabapentina,BioMed,capsula,100,,20,capsula,,Cápsulas 100 mg (20u)
85,gabapentina,PharmaMax,capsula,300,,10,capsula,,Cápsulas 300 mg (10u)
86,nitrofurantoina,Generico,capsula,100,,20,capsula,,Cápsulas 100 mg (20u)
87,nitrofurantoina,FarmacoB,capsula,100,,10,capsula,,Cápsulas 100 mg (10u)
88,nitrofurantoina,LabCare,capsula,100,,30,capsula,,Cápsulas 100 mg (30u)
89,nitrofurantoina,Medica,capsula,100,,14,capsula,,Cápsulas 100 mg (14u)
90,nitrofurantoina,PharmaMax,capsula,100,,6,capsula,,Cápsulas 100 mg (6u)
91,metronidazol,Generico,tablet,500,,10,tableta,,Tabletas 500 mg (10u)
92,metronidazol,FarmacoA,tablet,250,,20,tableta,,Tabletas 250 mg (20u)
93,metronidazol,LabCare,tablet,500,,6,tableta,,Tabletas 500 mg (6u)
94,metronidazol,BioMed,tablet,500,,12,tableta,,Tabletas 500 mg (12u)
95,metronidazol,PharmaMax,tablet,250,,10,tableta,,Tabletas 250 mg (10u)
96,albendazol,Generico,tablet,400,,4,tableta,,Tabletas 400 mg (4u)
97,albendazol,FarmacoB,tablet,400,,2,tableta,,Tabletas 400 mg (2u)
98,albendazol,LabCare,tablet,400,,6,tableta,,Tabletas 400 mg (6u)
99,albendazol,Medica,tablet,400,,10,tableta,,Tabletas 400 mg (10u)
100,albendazol,PharmaMax,tablet,400,,3,tableta,,Tabletas 400 mg (3u)
101,losartan,Generico,tablet,50,,30,tableta,,Tabletas 50 mg (30u)
102,losartan,FarmacoA,tablet,100,,30,tableta,,Tabletas 100 mg (30u)
103,losartan,LabCare,tablet,50,,14,tableta,,Tabletas 50 mg (14u)
104,losartan,BioMed,tablet,100,,14,tableta,,Tabletas 100 mg (14u)
105,losartan,PharmaMax,tablet,50,,10,tableta,,Tabletas 50 mg (10u)
106,amlodipino,Generico,tablet,5,,30,tableta,,Tabletas 5 mg (30u)
107,amlodipino,FarmacoB,tablet,10,,30,tableta,,Tabletas 10 mg (30u)
108,amlodipino,LabCare,tablet,5,,14,tableta,,Tabletas 5 mg (14u)
109,amlodipino,Medica,tablet,10,,14,tableta,,Tabletas 10 mg (14u)
110,amlodipino,PharmaMax,tablet,5,,7,tableta,,Tabletas 5 mg (7u)
111,metoprolol,Generico,tablet,50,,30,tableta,,Tabletas 50 mg (30u)
112,metoprolol,FarmacoA,tablet,100,,30,tableta,,Tabletas 100 mg (30u)
113,metoprolol,LabCare,tablet,50,,14,tableta,,Tabletas 50 mg (14u)
114,metoprolol,BioMed,tablet,100,,14,tableta,,Tabletas 100 mg (14u)
115,metoprolol,PharmaMax,tablet,50,,10,tableta,,Tabletas 50 mg (10u)
116,mupirocina,Generico,unguento,2,, ,unguento,15,Ungüento 2% (15 g)
117,mupirocina,FarmacoB,unguento,2,, ,unguento,10,Ungüento 2% (10 g)
118,mupirocina,LabCare,unguento,2,, ,unguento,30,Ungüento 2% (30 g)
119,mupirocina,Medica,unguento,2,, ,unguento,20,Ungüento 2% (20 g)
120,mupirocina,PharmaMax,unguento,2,, ,unguento,5,Ungüento 2% (5 g)
121,clotrimazol,Generico,crema,1,, ,unguento,30,Crema 1% (30 g)
122,clotrimazol,FarmacoA,crema,1,, ,unguento,20,Crema 1% (20 g)
123,clotrimazol,LabCare,crema,1,, ,unguento,15,Crema 1% (15 g)
124,clotrimazol,BioMed,crema,1,, ,unguento,10,Crema 1% (10 g)
125,clotrimazol,PharmaMax,crema,1,, ,unguento,5,Crema 1% (5 g)
126,ketoconazol,Generico,crema,2,, ,unguento,30,Crema 2% (30 g)
127,ketoconazol,FarmacoB,shampoo,2,, ,ml,200,Shampoo 2% (200 ml)
128,ketoconazol,LabCare,crema,2,, ,unguento,20,Crema 2% (20 g)
129,ketoconazol,Medica,shampoo,2,, ,ml,100,Shampoo 2% (100 ml)
130,ketoconazol,PharmaMax,crema,2,, ,unguento,15,Crema 2% (15 g)
131,hidrocortisona,Generico,crema,1,, ,unguento,15,Crema 1% (15 g)
132,hidrocortisona,FarmacoA,crema,1,, ,unguento,30,Crema 1% (30 g)
133,hidrocortisona,LabCare,crema,1,, ,unguento,10,Crema 1% (10 g)
134,hidrocortisona,BioMed,crema,1,, ,unguento,20,Crema 1% (20 g)
135,hidrocortisona,PharmaMax,crema,1,, ,unguento,5,Crema 1% (5 g)
136,pseudoefedrina,Generico,tablet,120,,12,tableta,,Tabletas 120 mg (12u)
137,pseudoefedrina,FarmacoB,tablet,120,,24,tableta,,Tabletas 120 mg (24u)
138,pseudoefedrina,LabCare,tablet,120,,8,tableta,,Tabletas 120 mg (8u)
139,pseudoefedrina,Medica,tablet,120,,16,tableta,,Tabletas 120 mg (16u)
140,pseudoefedrina,PharmaMax,tablet,120,,10,tableta,,Tabletas 120 mg (10u)
141,diclofenaco,Generico,tablet,50,,20,tableta,,Tabletas 50 mg (20u)
142,diclofenaco,FarmacoA,tablet,25,,20,tableta,,Tabletas 25 mg (20u)
143,diclofenaco,LabCare,tablet,50,,10,tableta,,Tabletas 50 mg (10u)
144,diclofenaco,BioMed,tablet,25,,30,tableta,,Tabletas 25 mg (30u)
145,diclofenaco,PharmaMax,tablet,50,,5,tableta,,Tabletas 50 mg (5u)
146,ranitidina,Generico,tablet,150,,20,tableta,,Tabletas 150 mg (20u)
147,ranitidina,FarmacoB,tablet,300,,14,tableta,,Tabletas 300 mg (14u)
148,ranitidina,LabCare,tablet,150,,10,tableta,,Tabletas 150 mg (10u)
149,ranitidina,Medica,tablet,150,,30,tableta,,Tabletas 150 mg (30u)
150,ranitidina,PharmaMax,tablet,300,,7,tableta,,Tabletas 300 mg (7u)
151,nitazoxanida,Generico,tablet,500,,6,tableta,,Tabletas 500 mg (6u)
152,nitazoxanida,FarmacoA,tablet,500,,4,tableta,,Tabletas 500 mg (4u)
153,nitazoxanida,LabCare,tablet,500,,8,tableta,,Tabletas 500 mg (8u)
154,nitazoxanida,BioMed,tablet,500,,10,tableta,,Tabletas 500 mg (10u)
155,nitazoxanida,PharmaMax,tablet,500,,3,tableta,,Tabletas 500 mg (3u)
156,ivermectina,Generico,tablet,6,,4,tableta,,Tabletas 6 mg (4u)
157,ivermectina,FarmacoB,tablet,3,,10,tableta,,Tabletas 3 mg (10u)
158,ivermectina,LabCare,tablet,12,,2,tableta,,Tabletas 12 mg (2u)
159,ivermectina,Medica,tablet,6,,6,tableta,,Tabletas 6 mg (6u)
160,ivermectina,PharmaMax,tablet,3,,8,tableta,,Tabletas 3 mg (8u)
161,vitaminaC,Generico,tablet,500,,30,tableta,,Tabletas 500 mg (30u)
162,vitaminaC,FarmacoA,tablet,1000,,20,tableta,,Tabletas 1000 mg (20u)
163,vitaminaC,LabCare,tablet,250,,60,tableta,,Tabletas 250 mg (60u)
164,vitaminaC,BioMed,tablet,500,,10,tableta,,Tabletas 500 mg (10u)
165,vitaminaC,PharmaMax,tablet,500,,100,tableta,,Tabletas 500 mg (100u)
166,enalapril,Generico,tablet,5,,30,tableta,,Tabletas 5 mg (30u)
167,enalapril,FarmacoB,tablet,10,,30,tableta,,Tabletas 10 mg (30u)
168,enalapril,LabCare,tablet,20,,14,tableta,,Tabletas 20 mg (14u)
169,enalapril,Medica,tablet,5,,14,tableta,,Tabletas 5 mg (14u)
170,enalapril,PharmaMax,tablet,10,,7,tableta,,Tabletas 10 mg (7u)
171,simvastatina,Generico,tablet,20,,30,tableta,,Tabletas 20 mg (30u)
172,simvastatina,FarmacoA,tablet,40,,14,tableta,,Tabletas 40 mg (14u)
173,simvastatina,LabCare,tablet,10,,30,tableta,,Tabletas 10 mg (30u)
174,simvastatina,BioMed,tablet,20,,14,tableta,,Tabletas 20 mg (14u)
175,simvastatina,PharmaMax,tablet,20,,10,tableta,,Tabletas 20 mg (10u)
176,atorvastatina,Generico,tablet,10,,30,tableta,,Tabletas 10 mg (30u)
177,atorvastatina,FarmacoB,tablet,20,,30,tableta,,Tabletas 20 mg (30u)
178,atorvastatina,LabCare,tablet,40,,14,tableta,,Tabletas 40 mg (14u)
179,atorvastatina,Medica,tablet,10,,14,tableta,,Tabletas 10 mg (14u)
180,atorvastatina,PharmaMax,tablet,80,,7,tableta,,Tabletas 80 mg (7u)
181,glibenclamida,Generico,tablet,5,,30,tableta,,Tabletas 5 mg (30u)
182,glibenclamida,FarmacoA,tablet,3,,30,tableta,,Tabletas 3 mg (30u)
183,glibenclamida,LabCare,tablet,5,,10,tableta,,Tabletas 5 mg (10u)
184,glibenclamida,BioMed,tablet,5,,20,tableta,,Tabletas 5 mg (20u)
185,glibenclamida,PharmaMax,tablet,3,,10,tableta,,Tabletas 3 mg (10u)
186,salbutamol,Generico,inhalador,,100,,ml,200,Inhalador salbutamol 100 mcg/dosis (200 dosis)
187,salbutamol,FarmacoB,inhalador,,100,,ml,120,Inhalador salbutamol 100 mcg/dosis (120 dosis)
188,salbutamol,LabCare,suspension,,2,,ml,100,Suspensión salbutamol 2 mg/ml (100 ml)
189,salbutamol,Medica,inhalador,,100,,ml,150,Inhalador salbutamol 100 mcg/dosis (150 dosis)
190,salbutamol,PharmaMax,inhalador,,100,,ml,50,Inhalador salbutamol 100 mcg/dosis (50 dosis)
191,budesonida,Generico,inhalador,,200,,ml,120,Inhalador budesonida 200 mcg/dosis (120 dosis)
192,budesonida,FarmacoA,inhalador,,100,,ml,120,Inhalador budesonida 100 mcg/dosis (120 dosis)
193,budesonida,LabCare,suspension,,0.5,,ml,100,Suspensión budesonida 0.5 mg/ml (100 ml)
194,budesonida,BioMed,inhalador,,200,,ml,60,Inhalador budesonida 200 mcg/dosis (60 dosis)
195,budesonida,PharmaMax,inhalador,,100,,ml,200,Inhalador budesonida 100 mcg/dosis (200 dosis)
196,montelukast,Generico,tablet,10,,30,tableta,,Tabletas 10 mg (30u)
197,montelukast,FarmacoB,tablet,5,,30,tableta,,Tabletas 5 mg (30u)
198,montelukast,LabCare,tablet,10,,10,tableta,,Tabletas 10 mg (10u)
199,montelukast,Medica,tablet,10,,14,tableta,,Tabletas 10 mg (14u)
200,montelukast,PharmaMax,tablet,4,,10,tableta,,Tabletas 4 mg (10u)
